Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,445,SG250090707,1040800578,52.78,83.88
Day 2 (20 June 2026),20 June 2026,1619,SG250091350,1040800580,30.46,41.27
Day 2 (20 June 2026),20 June 2026,871,SG250091403,1040800581,44.13,68.42
Day 2 (20 June 2026),20 June 2026,190,SG250091473,1040800582,60.09,93.14
Day 2 (20 June 2026),20 June 2026,2365,SG250092156,1040800583,14.12,14.19
Day 2 (20 June 2026),20 June 2026,2465,SG250092194,1040800584,11.19,10.56
Day 2 (20 June 2026),20 June 2026,1724,SG250096567,1040800589,28.8,37.46
Day 2 (20 June 2026),20 June 2026,1195,SG250100198,1040800593,38.12,56.66
Day 2 (20 June 2026),20 June 2026,1186,SG250102170,1040800594,38.14,56.99
Day 2 (20 June 2026),20 June 2026,546,SG250103898,1040800595,50.78,80.22
Day 2 (20 June 2026),20 June 2026,2270,SG250105444,1040800597,16.84,17.64
Day 2 (20 June 2026),20 June 2026,2641,SG250105842,1040800598,3.55,4.17
Day 2 (20 June 2026),20 June 2026,482,SG250107241,1040800600,52.12,82.54
Day 2 (20 June 2026),20 June 2026,2252,SG250108563,1040800602,17.51,18.29
Day 2 (20 June 2026),20 June 2026,869,SG250109160,1040800603,44.14,68.49
Day 2 (20 June 2026),20 June 2026,1637,SG250114770,1040800606,30.15,40.62
Day 2 (20 June 2026),20 June 2026,371,SG250118456,1040800610,54.71,86.57
Day 2 (20 June 2026),20 June 2026,620,SG250119003,1040800611,48.78,77.53
Day 2 (20 June 2026),20 June 2026,1353,SG250120430,1040800614,34.79,50.93
Day 2 (20 June 2026),20 June 2026,1223,SG250122247,1040800616,37.45,55.64
Day 2 (20 June 2026),20 June 2026,2426,SG250124797,1040800617,12.47,11.98
Day 2 (20 June 2026),20 June 2026,1066,SG250126815,1040800618,40.44,61.34
Day 2 (20 June 2026),20 June 2026,2725,SG250127072,1040800619,-2.47,1.13
Day 2 (20 June 2026),20 June 2026,750,SG250134618,1040800621,46.4,72.81
Day 2 (20 June 2026),20 June 2026,962,SG250137714,1040800623,42.46,65.12
Day 2 (20 June 2026),20 June 2026,893,SG250139710,1040800624,43.79,67.62
Day 2 (20 June 2026),20 June 2026,883,SG250140632,1040800626,44.09,67.99
Day 2 (20 June 2026),20 June 2026,1803,SG250141547,1040800627,27.48,34.59
Day 2 (20 June 2026),20 June 2026,563,SG250143949,1040800629,50.41,79.6
Day 2 (20 June 2026),20 June 2026,283,SG250144289,1040800630,56.77,89.76
Day 2 (20 June 2026),20 June 2026,168,SG250144729,1040800632,60.75,93.94
Day 2 (20 June 2026),20 June 2026,2529,SG250144899,1040800633,8.87,8.24
Day 2 (20 June 2026),20 June 2026,310,SG250145302,1040800636,56.09,88.78
Day 2 (20 June 2026),20 June 2026,2104,SG250147299,1040800639,21.19,23.67
Day 2 (20 June 2026),20 June 2026,2275,SG250001309,1050800640,16.82,17.46
Day 2 (20 June 2026),20 June 2026,2695,SG250001423,1050800641,0.36,2.21
Day 2 (20 June 2026),20 June 2026,2198,SG250002566,1050800644,19.16,20.25
Day 2 (20 June 2026),20 June 2026,355,SG250004524,1050800645,55.09,87.15
Day 2 (20 June 2026),20 June 2026,1789,SG250005042,1050800646,27.8,35.1
Day 2 (20 June 2026),20 June 2026,1345,SG250005493,1050800647,34.82,51.22
Day 2 (20 June 2026),20 June 2026,1247,SG250006652,1050800648,37.08,54.77
